date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:55	34716/34716	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Nov%202024%2010:19:25%20GMT	https://medcare-template.webflow.io/blog	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/blog.html	(from https://medcare-template.webflow.io/about-us)
16:36:56	17302/17302	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2019:35:44%20GMT	https://medcare-template.webflow.io/appointment	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/appointment.html	(from https://medcare-template.webflow.io/about-us)
16:36:56	18290/18290	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202024%2007:24:18%20GMT	https://medcare-template.webflow.io/contact-us	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/contact-us.html	(from https://medcare-template.webflow.io/about-us)
16:36:56	13533/13533	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Nov%202024%2010:19:38%20GMT	https://medcare-template.webflow.io/sign-in	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/sign-in.html	(from https://medcare-template.webflow.io/about-us)
16:36:56	14033/14033	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Nov%202024%2021:35:22%20GMT	https://medcare-template.webflow.io/sign-up	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/sign-up.html	(from https://medcare-template.webflow.io/about-us)
16:36:56	13253/13253	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Nov%202024%2008:57:04%20GMT	https://medcare-template.webflow.io/forgot-password	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/forgot-password.html	(from https://medcare-template.webflow.io/about-us)
16:36:57	32149/32149	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Nov%202024%2013:17:14%20GMT	https://medcare-template.webflow.io/service/gynecology	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/service/gynecology.html	(from https://medcare-template.webflow.io/about-us)
16:36:57	39242/39242	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2020:37:02%20GMT	https://medcare-template.webflow.io/post/regular-screenings-and-health-maintenance	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/post/regular-screenings-and-health-maintenance.html	(from https://medcare-template.webflow.io/about-us)
16:36:57	30476/30476	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Nov%202024%2010:46:07%20GMT	https://medcare-template.webflow.io/doctors/dr-sarah-davis	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/doctors/dr-sarah-davis.html	(from https://medcare-template.webflow.io/about-us)
16:36:57	2861/2861	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202024%2014:29:20%20GMT	https://medcare-template.webflow.io/404	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/404.html	(from https://medcare-template.webflow.io/about-us)
16:36:58	3903/3903	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Nov%202024%2010:20:17%20GMT	https://medcare-template.webflow.io/401	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/401.html	(from https://medcare-template.webflow.io/about-us)
16:36:58	19283/19283	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Nov%202024%2005:57:01%20GMT	https://medcare-template.webflow.io/template-info/style-guide	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/template-info/style-guide.html	(from https://medcare-template.webflow.io/about-us)
16:36:58	17351/17351	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Nov%202024%2011:06:13%20GMT	https://medcare-template.webflow.io/template-info/licenses	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/template-info/licenses.html	(from https://medcare-template.webflow.io/about-us)
16:36:58	12993/12993	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Nov%202024%2005:51:59%20GMT	https://medcare-template.webflow.io/template-info/changelog	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/template-info/changelog.html	(from https://medcare-template.webflow.io/about-us)
16:36:59	94469/94469	---M--	200	added ('OK')	image/jpeg	etag:%2270442db0c5f71d7c6125d89b1d5f4245%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65d31a6be16ba1bfa68c9874_About-hero-banner.jpg	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65d31a6be16ba1bfa68c9874_About-hero-banner.jpg	(from https://medcare-template.webflow.io/about-us)
16:36:59	82243/82243	---M--	200	added ('OK')	image/jpeg	etag:%2261b90ce0f124e639911e4bace64c2dba%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65d3267a24fcd687ca14f71d_our-mission-banner.jpg	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65d3267a24fcd687ca14f71d_our-mission-banner.jpg	(from https://medcare-template.webflow.io/about-us)
16:37:00	30495/30495	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2022:52:26%20GMT	https://medcare-template.webflow.io/doctors/dr-david-martin	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/doctors/dr-david-martin.html	(from https://medcare-template.webflow.io/about-us)
16:37:00	76244/76244	---M--	200	added ('OK')	image/jpeg	etag:%22db51410857dbe14fd41f295211ff55fc%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65d32b5ace27c11e4d4f9e86_our-apart-banner.jpg	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65d32b5ace27c11e4d4f9e86_our-apart-banner.jpg	(from https://medcare-template.webflow.io/about-us)
16:37:00	30257/30257	---M--	200	added ('OK')	image/png	etag:%22293bc9af076c3a72d97d9330e7aff1f6%22	https://cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cc8aacf3278495aac9c380_dr-david-martin.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cc8aacf3278495aac9c380_dr-david-martin.png	(from https://medcare-template.webflow.io/about-us)
16:37:00	22373/22373	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Nov%202024%2013:18:46%20GMT	https://medcare-template.webflow.io/doctor-specialty/ophthalmologist	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/doctor-specialty/ophthalmologist.html	(from https://medcare-template.webflow.io/about-us)
16:37:00	30505/30505	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Nov%202024%2016:00:02%20GMT	https://medcare-template.webflow.io/doctors/dr-robert-jackson	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/doctors/dr-robert-jackson.html	(from https://medcare-template.webflow.io/about-us)
16:37:00	31085/31085	---M--	200	added ('OK')	image/png	etag:%22a91aa7accbd7a3ce1ac70feb0e9afc1b%22	https://cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cc8a4f6f2babb31de67957_dr-robert-jackson.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cc8a4f6f2babb31de67957_dr-robert-jackson.png	(from https://medcare-template.webflow.io/about-us)
16:37:01	19826/19826	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Nov%202024%2007:17:38%20GMT	https://medcare-template.webflow.io/doctor-specialty/neurologist	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/doctor-specialty/neurologist.html	(from https://medcare-template.webflow.io/about-us)
16:37:01	29906/29906	---M--	200	added ('OK')	image/png	etag:%22276c828e9a0375b0a10116287e10a2c5%22	https://cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cc8a2143e4ccf99672dab2_dr-sarah-davis.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cc8a2143e4ccf99672dab2_dr-sarah-davis.png	(from https://medcare-template.webflow.io/about-us)
16:37:01	19819/19819	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Nov%202024%2006:47:37%20GMT	https://medcare-template.webflow.io/doctor-specialty/gynecologist	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/doctor-specialty/gynecologist.html	(from https://medcare-template.webflow.io/about-us)
16:37:01	30507/30507	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Nov%202024%2004:08:30%20GMT	https://medcare-template.webflow.io/doctors/dr-jessica-white	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/doctors/dr-jessica-white.html	(from https://medcare-template.webflow.io/about-us)
16:37:01	35633/35633	---M--	200	added ('OK')	image/png	etag:%22e3cadbaec4777188e32ddc2e414daeb3%22	https://cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cc89f6ac1c58da55ccfbbc_dr-jessica-white.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cc89f6ac1c58da55ccfbbc_dr-jessica-white.png	(from https://medcare-template.webflow.io/about-us)
16:37:02	22352/22352	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2021:59:27%20GMT	https://medcare-template.webflow.io/doctor-specialty/pediatrician	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/doctor-specialty/pediatrician.html	(from https://medcare-template.webflow.io/about-us)
16:37:02	62936/62936	---M--	200	added ('OK')	image/jpeg	etag:%2273fa4adf9dddc4f744fc320e8a261c6d%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cca34667321a9a91919866_CTA-banner.jpg	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cca34667321a9a91919866_CTA-banner.jpg	(from https://medcare-template.webflow.io/about-us)
16:37:02	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=65c992c37023d69385565acc	C:/Users/user/Desktop/master/project2/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c843fc.js	(from https://medcare-template.webflow.io/about-us)
16:37:03	429256/429256	---M-Z	200	added ('OK')	text/javascript	etag:%2227dedb1531eed5aed67c02fe209e4c8e%22	https://assets-global.website-files.com/65c992c37023d69385565acc/js/webflow.e72dc5e5f.js	C:/Users/user/Desktop/master/project2/assets-global.website-files.com/65c992c37023d69385565acc/js/webflow.e72dc5e5f.js	(from https://medcare-template.webflow.io/about-us)
16:37:03	127373/127373	---M--	200	added ('OK')	image/png	etag:%22eaadc0f6645cea1881808fb09dc3aea8%22	https://assets-global.website-files.com/65c992c37023d69385565acc/65e9afb2693e091054d0a76f_preview-footer.png	C:/Users/user/Desktop/master/project2/assets-global.website-files.com/65c992c37023d69385565acc/65e9afb2693e091054d0a76f_preview-footer.png	(from https://assets-global.website-files.com/65c992c37023d69385565acc/css/medcare-template.webflow.1b5882e1f.css)
16:37:03	105832/105832	---M--	200	added ('OK')	image/jpeg	etag:%22893ea521a9c32c46ecdbdef7964039cc%22	https://assets-global.website-files.com/65c992c37023d69385565acc/65e95cfe3326bb1695beded0_thubnail-hero-bg.jpg	C:/Users/user/Desktop/master/project2/assets-global.website-files.com/65c992c37023d69385565acc/65e95cfe3326bb1695beded0_thubnail-hero-bg.jpg	(from https://assets-global.website-files.com/65c992c37023d69385565acc/css/medcare-template.webflow.1b5882e1f.css)
16:37:03	5172/5172	---M--	200	added ('OK')	image/png	etag:%22ec5eacbb9cba8b9a89ff2afa27e4fa24%22	https://assets-global.website-files.com/65c992c37023d69385565acc/65ed9708d2f4a0859998d48b_CTA-BG.png	C:/Users/user/Desktop/master/project2/assets-global.website-files.com/65c992c37023d69385565acc/65ed9708d2f4a0859998d48b_CTA-BG.png	(from https://assets-global.website-files.com/65c992c37023d69385565acc/css/medcare-template.webflow.1b5882e1f.css)
16:37:04	200181/200181	---M--	200	added ('OK')	image/png	etag:%221d38bbc83b8ee0df2722c73a6c0ee41a%22	https://assets-global.website-files.com/65c992c37023d69385565acc/65e995eff9fe40fa38e0e973_reuseable-bg.png	C:/Users/user/Desktop/master/project2/assets-global.website-files.com/65c992c37023d69385565acc/65e995eff9fe40fa38e0e973_reuseable-bg.png	(from https://assets-global.website-files.com/65c992c37023d69385565acc/css/medcare-template.webflow.1b5882e1f.css)
16:37:04	11677/11677	---M--	200	added ('OK')	image/png	etag:%2234be03f26d4d330fa0a9da4023652312%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cb058791aadd6db3939a36_dr-cart.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cb058791aadd6db3939a36_dr-cart.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:04	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Nov%202024%2013:37:04%20GMT	https://medcare-template.webflow.io/	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/index.html	(from https://medcare-template.webflow.io/about-us)
16:37:04	127305/127305	---M--	200	added ('OK')	image/png	etag:%22adcc932e6e0711c0cef68fad866d9f3d%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cb03c7c409125210deb105_banner-dr-img.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cb03c7c409125210deb105_banner-dr-img.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:04	1663/1663	---M--	200	added ('OK')	image/png	etag:%22a640114fc9282a5cba144d8947efe3c9%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cb0b22d5c6859bd68e4761_hero-one-rectangle.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cb0b22d5c6859bd68e4761_hero-one-rectangle.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:05	989/989	---M--	200	added ('OK')	image/png	etag:%22e5806ade8ab8c12932929c1b7b26c662%22	https://cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cb4ff286477ad7e0776295_gynecology.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cb4ff286477ad7e0776295_gynecology.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:05	1147/1147	---M--	200	added ('OK')	image/png	etag:%222ce24396d61a0d20d1bbd8e2c6d0737f%22	https://cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cb4f91c4f9e33c53b0c65a_pediatrics.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cb4f91c4f9e33c53b0c65a_pediatrics.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:05	32149/32149	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Nov%202024%2010:21:55%20GMT	https://medcare-template.webflow.io/service/pediatrics	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/service/pediatrics.html	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:05	1252/1252	---M--	200	added ('OK')	image/png	etag:%221860a3bd65c0b3b9ffb54db8858edfe9%22	https://cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cb4f26838d762de834b7ab_ophthalmology.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cb4f26838d762de834b7ab_ophthalmology.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:06	6398/6398	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Nov%202024%2013:37:06%20GMT	https://medcare-template.webflow.io/service/ophthalmology	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/service/ophthalmology	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:06	1323/1323	---M--	200	added ('OK')	image/png	etag:%226ee53ba75fd47bd715ea8884cc3c8883%22	https://cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cb4ed491d92075f406ae9b_neurology.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cb4ed491d92075f406ae9b_neurology.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:06	32136/32136	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Nov%202024%2007:05:44%20GMT	https://medcare-template.webflow.io/service/neurology	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/service/neurology.html	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:06	931/931	---M--	200	added ('OK')	image/png	etag:%221a49dbb05dd0105ba189c8f4035432a2%22	https://cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cb4e7f995609bf6bc39c36_oncology.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cb4e7f995609bf6bc39c36_oncology.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:07	32123/32123	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Nov%202024%2004:15:31%20GMT	https://medcare-template.webflow.io/service/oncology	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/service/oncology.html	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:07	1103/1103	---M--	200	added ('OK')	image/png	etag:%220356f9f2e590b940db9d53481b90cdde%22	https://cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cb4df6dfec5e2b401272bb_cardiology.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cb4df6dfec5e2b401272bb_cardiology.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:07	32155/32155	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202024%2010:56:02%20GMT	https://medcare-template.webflow.io/service/cardiology	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/service/cardiology.html	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:07	110333/110333	---M--	200	added ('OK')	image/png	etag:%2292719700b037c70cb0517b0ced15aa79%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cc35836bd9d321023f0c7b_about-banner-image-large.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cc35836bd9d321023f0c7b_about-banner-image-large.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:08	51943/51943	---M--	200	added ('OK')	image/jpeg	etag:%221014d3c0363c4e6a68afee98fd69269a%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cc410a2512d0a2d9508437_About%20Banner%20Image%20Two.jpg	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cc410a2512d0a2d9508437_About%20Banner%20Image%20Two.jpg	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:08	919/919	---M--	200	added ('OK')	image/png	etag:%223282245bdeefe02baa42b34f2ef80464%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cc483031e6fa4acae156fa_ellipse-top.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cc483031e6fa4acae156fa_ellipse-top.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:08	903/903	---M--	200	added ('OK')	image/png	etag:%2202b6cafa135f817a59c91318cce8fe6f%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cc48e662c5b8422da44692_ellipse-center.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cc48e662c5b8422da44692_ellipse-center.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:08	1663/1663	---M--	200	added ('OK')	image/png	etag:%224e9d7a873acdb37f333038e32260ca36%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cc4a70398f0f3e175f87c7_ellipse-bottom.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cc4a70398f0f3e175f87c7_ellipse-bottom.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:08	14717/14717	---M--	200	added ('OK')	image/jpeg	etag:%228bc418df9cc93c14f5ec604b7882dbf7%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cd9375ba2d7622952ab204_Braden-dawais.jpg	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cd9375ba2d7622952ab204_Braden-dawais.jpg	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:09	435/435	---M--	200	added ('OK')	image/png	etag:%22f8714df22b3caf01ba9ca2c97ec37afb%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cd96e9ce2cb290e285b858_Star-5.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cd96e9ce2cb290e285b858_Star-5.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:09	421/421	---M--	200	added ('OK')	image/png	etag:%22757e8fc0ad82b69cc285473af297c9e1%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cd981c219b88cc407d42c3_dark-star-5.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cd981c219b88cc407d42c3_dark-star-5.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:09	1020/1020	---M--	200	added ('OK')	image/png	etag:%22413b503d9fc62d08433f848512312d41%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cd9d49c3cf2384bfcc4e92_dotted%20shape.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cd9d49c3cf2384bfcc4e92_dotted%20shape.png	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:09	15006/15006	---M--	200	added ('OK')	image/jpeg	etag:%2204c11932a9678c13a35c1d677dab53d5%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cd9778ffa57e62706862a8_Naliyen-lestie.jpg	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cd9778ffa57e62706862a8_Naliyen-lestie.jpg	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:10	14222/14222	---M--	200	added ('OK')	image/jpeg	etag:%222988e16b31c3edccd26e45cd3381fc92%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cd97c8a87fbf277fb8c6c3_Jenny-wilson.jpg	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cd97c8a87fbf277fb8c6c3_Jenny-wilson.jpg	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:10	16364/16364	---M--	200	added ('OK')	image/jpeg	etag:%22ee8dad5e650a715d7acc53532d46a290%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cd9ffc63e05410dba4dcd6_Daisy-robinson.jpg	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cd9ffc63e05410dba4dcd6_Daisy-robinson.jpg	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:10	18954/18954	---M--	200	added ('OK')	image/jpeg	etag:%22d36ea0de11b3cb5ea6a9e79421577249%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65cd9f98fc7f1f47526ccb04_Brent-bennett.jpg	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65cd9f98fc7f1f47526ccb04_Brent-bennett.jpg	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:10	6398/6398	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Nov%202024%2013:37:10%20GMT	https://medcare-template.webflow.io/post/expert-advice-on-chronic-conditions	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/post/expert-advice-on-chronic-conditions.46.delayed	(from https://medcare-template.webflow.io/home-page/home-one)
16:37:11	53217/53217	---M--	200	added ('OK')	image/jpeg	etag:%2299889f1f2a51c171206e39b107c0b477%22	https://cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cdb32bdafcbc4f8057f961_expert-advice-on-chronic-conditions.jpg	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65cb4d1ed2f90340ed5047d9/65cdb32bdafcbc4f8057f961_expert-advice-on-chronic-conditions.jpg	(from https://medcare-template.webflow.io/home-page/home-one)
